,prompt_overlap,avg_word_length,sent_length,cosineword2vec,cosinedoc2vec,fsts,noun_overlap,content_overlap,ttr,jc_sim,sps,cs_use,cosine_elmo,lsa1,lsa2,lsa3,score
67,0.1538,4.2857,7,0.1914,0.3678,0.4923,0.3333,0.2,-0.4116930572,0.3137555068,0.5,0.4945035279,0.7388,0.6934572352144154,-0.3216333898627074,-0.6447239916849711,0
68,0.0769,4.8462,13,0.2344,0.3119,1.0035,0.3333,0.2,0.7903673779000001,0.1818549599,0.5714285714,0.6981238723000001,0.6218,0.6107570663074102,-0.28801775367747673,-0.7375781853621663,1
69,0.0,5.1429,7,0.1403,0.6425,1.2975,0.0,0.0,0.5148982528,0.2870783521,0.75,0.4547349215,0.6197,0.9004619702537501,-0.2230238063160725,-0.3734014219884889,0
70,0.1538,4.5,12,0.2204,0.1201,0.0,0.3333,0.2,-0.2515848526,0.2685426245,1.0,0.6652947664,0.73,0.6909188353637625,-0.3306347682714074,-0.642893313816293,1
71,0.0,3.6,5,0.0665,0.7539,1.2388,0.0,0.0,0.5975493148,0.0182812041,0.5,0.245218724,0.5876,0.948687252775414,0.0036516127096418633,0.31619481676026345,0
72,0.0476,3.75,12,0.1059,0.3034,0.3723,0.1429,0.0833,-0.1177254587,0.125,0.125,0.5440688133,0.5381,0.7552992174251909,0.5698658799360754,0.3236911661469569,0
73,0.0476,5.4444,9,0.1476,-0.2914,0.9624,0.2857,0.25,-0.098681689,0.25,0.125,0.689052999,0.5268,0.6267707223983088,0.7776765374950602,-0.04876130201293453,0
74,0.1667,4.9286,14,0.1672,0.1884,0.4356,0.1429,0.25,0.3175126493,0.2045267979,0.3125,0.6365965009000001,0.628,0.6656742936783313,0.74568743607776,-0.028774683519219506,1
75,0.0952,2.9,10,0.0854,0.268,0.3723,0.0,0.0833,-0.388500301,0.1411313546,0.125,0.5844789147,0.4412,0.6132858707878672,0.7861144109953652,-0.07684122277382949,0
76,0.0714,3.5,14,0.0841,0.055,0.4655,0.0,0.0,-0.4363923466,0.1035521801,0.25,0.1499668956,0.4184,0.5577819528432351,0.8287856178968223,0.044650785544824066,0
77,0.0,3.8,5,0.0232,0.8081,0.4926,0.0,0.0,-0.4759255644,0.0625,0.0,0.1707896739,0.2935,0.5697851950875897,0.8023515500959283,-0.17769868181181894,0
78,0.1429,4.0,17,0.1996,0.2184,0.3723,0.1429,0.1667,0.0250748018,0.2705526388,0.25,0.6733193398,0.6293,0.7373923853111243,0.6179834771422614,-0.2726699324537464,1
79,0.3095,4.1143,35,0.318,-0.4956,0.0,0.4286,0.3333,0.6125779720000001,0.4751220879,0.6666666667,0.5945795178,0.6457,0.8788290360979075,0.4006739714612968,0.2590750738775431,0
80,0.0952,3.7143,14,0.173,-0.3089,0.4273,0.1429,0.25,-0.17678482829999995,0.2107460253,0.1875,0.6015322804,0.6057,0.7371414574852609,0.3466625806073233,0.5800409699867554,0
81,0.0952,3.8696,23,0.2174,-0.2029,0.1748,0.1429,0.0833,-0.4430502993,0.3543561029,0.1875,0.4344891608,0.5273,0.7818437977890832,0.6152287599553065,-0.10106358781776408,0
82,0.2381,4.0,26,0.2304,-0.3663,0.6414,0.2857,0.25,0.2287134282,0.3456581525,0.5,0.7170029283,0.6541,0.6265092067809854,0.7792310420866869,-0.016887772711527683,1
83,0.119,4.0833,12,0.0948,-0.227,0.4926,0.0,0.0833,0.0062690818,0.08062991679999999,0.1875,0.4446961582,0.4744,0.5853741422900044,0.2938046292298887,0.7556559755479536,0
84,0.2143,4.0,22,0.3054,-0.1785,0.3723,0.5714,0.5,-0.0282068393,0.3995660969,0.4375,0.7832155228000001,0.7642,0.9295004038022768,0.3660329807070342,-0.045264294605439834,0
85,0.2619,4.28,25,0.2595,0.5041,0.6145,0.4286,0.25,0.2110940715,0.4081581525,0.5,0.7973062395999999,0.6667,0.6689369846603742,0.7222577238182524,-0.175690326820697,1
86,0.119,3.3793,29,0.1576,-0.8277,1.0766,0.0,0.0833,-0.06336568719999999,0.1665726855,0.375,0.3471117318,0.564,0.9582285574743368,0.14896890323666787,-0.24414400977520634,0
87,0.1905,4.0476,21,0.1885,0.218,0.3499,0.1429,0.0833,0.2986959879,0.2036313546,0.4375,0.6089681387,0.6444,0.6003003726348078,0.7940454973273725,-0.0955573690964569,1
88,0.0952,4.1176,17,0.1762,0.1553,0.3723,0.4286,0.3333,0.0751687708,0.3186372093,0.25,0.7488395572,0.7525,0.931150359677038,0.1405084572901041,0.33647641983247195,1
89,0.0238,3.5833,12,0.0845,-0.5559,0.2775,0.0,0.1667,-0.6814590888,0.1461560963,0.1875,0.4227502942,0.5364,0.6965481312991736,-0.02990173097603035,-0.7168867325235322,0
90,0.119,4.5,32,0.3154,0.8358,0.7248,0.4286,0.5,-0.1116240467,0.6117887216,0.4375,0.6811486483,0.7929,0.6820342022798191,0.7277104640463631,-0.07257291118563332,1
91,0.1905,3.3636,22,0.1828,0.4764,0.6071,0.0,0.0833,-0.4753458642,0.2317490625,0.375,0.4207793474,0.5094,0.6149631481749733,0.7582555678644635,0.21649207881413585,1
92,0.1667,3.375,24,0.1974,0.4868,0.5438,0.1429,0.1667,-0.4024667169,0.2470461572,0.375,0.6883947253,0.6345,0.9079276719355128,0.11958903993600208,-0.401703627144372,0
93,0.0952,4.0385,26,0.2293,0.1398,0.6402,0.1429,0.25,0.112180091,0.375,0.1875,0.6609985232,0.7444,0.9264851697831564,0.3564078499892803,-0.12082497522405827,1
94,0.2857,4.36,25,0.2943,-0.2431,1.0766,0.1429,0.25,0.6789129331,0.4068840046,0.625,0.5947991014,0.6698,0.6579447086540388,0.7348125653571999,0.16480064971753874,0
95,0.119,3.5833,12,0.1281,0.1108,0.3499,0.1429,0.1667,-0.1639718985,0.0894648404,0.1875,0.5757341981,0.5519,0.9721125391256668,0.05449151148607096,-0.22809622191218454,0
96,0.0952,3.3684,19,0.1126,0.1523,0.0,0.0,0.1667,-0.2934880764,0.1480347724,0.25,0.4378039837,0.5149,0.6760979981221351,0.6270173430617942,0.3869634975485022,0
97,0.2619,3.5,22,0.2062,-0.1971,0.4926,0.0,0.1667,-0.2814525799,0.1812466275,0.5,0.5522736907,0.6027,0.7605571777362282,0.6025895839328926,0.241740713843338,0
98,0.0714,2.6429,14,0.1172,-0.1233,0.3723,0.0,0.0833,-0.4351889879,0.1031979552,0.3125,0.223601371,0.4639,0.5988991433245515,0.4141303083815655,0.6854311809400762,0
99,0.2381,5.625,16,0.2504,0.2891,1.5644,0.1429,0.0833,0.8163167212000001,0.2713867966,0.4375,0.5545445085,0.5995,0.6653141081029341,0.727408076370657,0.1680316279452697,0
100,0.119,3.3333,9,0.1003,0.7227,0.4273,0.2857,0.1667,0.4014347264,0.1411313546,0.1875,0.6522642374000001,0.4844,0.8819119292743085,0.016432408163481016,-0.4711277161934074,0
101,0.0,4.5,4,0.0232,0.2138,0.3678,0.0,0.0,-0.3612131203,0.0625,0.0,0.1211296245,0.2519,0.5697851950875897,0.8023515500959283,-0.17769868181181894,0
102,0.0952,4.8,10,0.086,-0.1076,0.6922,0.0,0.0,0.6305091411,0.0678883882,0.1875,0.4122786224,0.5039,0.593418594155986,0.6690426488970196,0.4474777157208976,0
103,0.1429,3.7619,21,0.2727,0.3822,0.3225,0.2857,0.4167,-0.3203581852,0.4536313546,0.375,0.596801579,0.6738,0.637393663487259,0.7604211302844976,0.12445490092052652,1
104,0.0714,4.1667,18,0.3448,0.3171,0.3678,0.5714,0.5,-0.2243840028,0.5,0.3125,0.8012012243000001,0.8011,0.6596708454702328,0.7320113643917386,0.17027547691295306,1
105,0.1667,3.9545,22,0.4451,0.6595,0.6292,0.5714,0.5833,-0.2531214021,0.5786313546,0.5,0.7725470662,0.8196,0.6414814557610435,0.7553644067652305,0.13388859139935586,1
106,0.0238,4.2308,13,0.2069,0.1349,0.4864,0.2857,0.25,-0.3057758594,0.25,0.125,0.6287733315999999,0.6827,0.6442012372764161,0.7490652463629415,0.15461572553514866,1
107,0.1667,4.0,23,0.4451,0.7638,0.3678,0.5714,0.5833,-0.2832226269,0.5786313546,0.5,0.7889405489,0.816,0.6414814557610435,0.7553644067652305,0.13388859139935586,1
108,0.1333,3.5833,12,0.2748,0.3096,0.2007,0.0,0.5,-0.3110050895,0.5605882047,0.6666666667,0.4734349549,0.643,0.5375717416759169,0.5172404270510929,0.6659421620347552,0
109,0.0667,5.2,5,0.1335,-0.2936,0.2241,0.0,0.3333,-0.8718136154,0.3333333333,0.3333333333,0.5055046082,0.6389,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
110,0.0,5.3333,3,0.1667,0.1852,0.4492,0.0,0.1667,0.4062610754,0.3333333333,0.1666666667,0.6973832846,0.6339,0.6738664213278961,0.6909073471395336,-0.2618226191056578,0
111,0.0,5.6667,3,0.0719,0.2706,0.3557,0.0,0.1667,0.4282580764,0.1666666667,0.1666666667,0.5850974917,0.5025,0.6715636936159467,0.6727317100267474,-0.3105386477419437,0
112,0.0,6.6667,3,0.1403,0.0423,0.1031,0.0,0.0,0.3802958424,0.3333333333,0.1666666667,0.5519269109,0.5617,0.6656993913640328,0.2203400316094524,0.7129478177313552,0
113,0.0,6.6667,3,0.1335,0.7993,0.3647,0.0,0.0,0.0291874381,0.3333333333,0.1666666667,0.6571504474000001,0.5760000000000001,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
114,0.0,5.6,5,0.0502,0.1841,0.306,0.0,0.1667,-0.4364419703,0.1666666667,0.1666666667,0.6423533559000001,0.6575,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
115,0.0,5.6667,3,0.0951,-0.4983,0.3332,0.0,0.0,0.1043656651,0.0228823053,0.3333333333,0.530256927,0.4899,0.5548341820505269,0.7754063270730188,-0.301502998929452,0
116,0.0,4.3333,3,0.0829,-0.3548,0.5056,0.0,0.1667,-0.7749032706,0.1799266816,0.3333333333,0.4945331216,0.3937,0.8622681847068675,0.4781719044088298,0.16686883314854395,0
117,0.0,6.0,3,0.0951,-0.2191,0.3646,0.0,0.0,0.1420252522,0.0228823053,0.3333333333,0.5567578077,0.4972,0.5548341820505269,0.7754063270730188,-0.301502998929452,0
118,0.0667,5.0,4,0.1729,-0.3784,0.3483,0.0,0.0,-0.5747279176,0.4037013459,0.3333333333,0.563659966,0.6133,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
119,0.0667,5.2,5,0.1335,-0.2513,0.332,0.0,0.3333,-0.8718136154,0.3333333333,0.3333333333,0.5055046082,0.6389,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
120,0.0,3.5714,7,0.1267,-0.187,0.1661,0.0,0.0,0.1185240715,0.0795292384,0.5,0.419768095,0.5529,0.586554816319812,0.7573987307575551,-0.2868808290891461,0
121,0.0,6.6667,3,0.1335,0.4922,0.4894,0.0,0.0,0.0291874381,0.3333333333,0.1666666667,0.6571504474000001,0.5760000000000001,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
122,0.0667,5.6,5,0.2367,-0.8214,0.4945,0.0,0.1667,0.4483414661,0.3333333333,0.3333333333,0.3891136348,0.5632,0.6698645869486304,0.6942020329400351,-0.2633723079863622,0
123,0.0,6.6667,3,0.1335,0.2164,0.0896,0.0,0.0,0.0291874381,0.3333333333,0.1666666667,0.6571504474000001,0.5760000000000001,0.6090554334734585,0.7896320422513675,0.07438223448103748,1
124,0.0667,6.75,4,0.2168,0.1424,0.4563,1.0,0.1667,-0.5860559842,0.5,0.1666666667,0.7501288056000001,0.6836,0.8492601386722948,0.4629152948925783,-0.25390282908394685,1
125,0.0667,6.8,5,0.2239,-0.562,0.3739,1.0,0.3333,-0.8934342058,0.3333333333,0.1666666667,0.7397310734,0.6006,0.7972078913260614,-0.15950338623429186,-0.5822527353196798,0
126,0.1333,3.8667,15,0.2824,0.8239,0.7949,0.0,0.6667,-0.5482513499,0.8333333333,0.6666666667,0.5261439681,0.6829999999999999,0.6801638353851026,0.7186984321186447,0.14439432365723007,1
127,0.0,4.2308,13,0.3085,0.462,0.6845,0.0,0.6667,-0.0864820639,0.8623688656999999,0.8333333333,0.5853583217,0.7018,0.7602377370825507,-0.020782262124565458,-0.6493124676891615,1
128,0.0,4.8,5,0.2138,0.4787,0.7139,0.0,0.1667,0.4510730671,0.3333333333,0.1666666667,0.5306082368,0.6191,0.6738664213278961,0.6909073471395336,-0.2618226191056578,0
129,0.0667,5.6,5,0.2367,0.1259,0.4894,0.0,0.1667,0.4483414661,0.3333333333,0.3333333333,0.3891136348,0.5632,0.6698645869486304,0.6942020329400351,-0.2633723079863622,1
130,0.0,4.8,5,0.2138,-0.2298,0.6256,0.0,0.1667,0.4510730671,0.3333333333,0.1666666667,0.5306082368,0.6191,0.6738664213278961,0.6909073471395336,-0.2618226191056578,0
131,0.0667,5.0,5,0.2283,0.0982,0.5227,0.0,0.0,-0.5839906020000001,0.4169613608,0.5,0.6016088128,0.6784,0.9217641349832764,0.3868216837594437,-0.02683028945131138,1
132,0.0,5.2857,7,0.1828,0.1288,0.4171,0.0,0.0,0.4412001011,0.3647344633,0.3333333333,0.5372713208,0.6926,0.6637055369298386,0.2207587365299187,0.7146751293380711,0
133,0.0,4.0,3,0.0507,-0.2281,0.6102,0.0,0.0,-0.5275524366,0.0112421387,0.1666666667,0.4282934666,0.4305,0.8919244837710726,0.3573823723428029,-0.27703529592515075,0
134,0.0,5.3333,3,0.1667,-0.1175,0.2244,0.0,0.1667,0.4062610754,0.3333333333,0.1666666667,0.6973832846,0.6339,0.6738664213278961,0.6909073471395336,-0.2618226191056578,1
135,0.0,5.3333,3,0.1667,0.2644,0.5387,0.0,0.1667,0.4062610754,0.3333333333,0.1666666667,0.6973832846,0.6339,0.6738664213278961,0.6909073471395336,-0.2618226191056578,0
136,0.0,6.6667,3,0.1403,0.7190000000000001,0.4702,0.0,0.0,0.3802958424,0.3333333333,0.1666666667,0.5519269109,0.5617,0.6656993913640328,0.2203400316094524,0.7129478177313552,0
137,0.0,3.4286,21,0.1821,0.224,0.903,0.0,0.3333,0.4868489593,0.6059729742000001,0.4285714286,0.5250983834,0.674,0.6519006349000774,0.7582543181381489,0.008715000959657883,1
138,0.0,4.2222,9,0.3002,-0.1026,0.6367,0.0,0.6667,-0.23388005260000005,0.6666666667,0.5,0.7251192331,0.8919,0.6328085849247626,0.7742478422483994,-0.009673345812973844,1
